
date, close, rs, rsRatio, rsMom
08-04-2026,21991.2,0.845721,100.16019,98.8401
09-04-2026,22135.4,0.85458595,99.46034,98.39829
10-04-2026,22164.8,0.8319839,98.57294,97.95183
13-04-2026,22100.1,0.847247,98.08864,97.558556
15-04-2026,22435.7,0.8471705,97.73502,97.19044
16-04-2026,22465.0,0.8515017,97.565445,96.8562
17-04-2026,22497.2,0.85103834,97.46961,96.61594
20-04-2026,22456.8,0.8467139,97.38228,96.45572
21-04-2026,22438.4,0.8427505,97.33437,96.37401
22-04-2026,22455.4,0.84896904,97.47726,96.36973
23-04-2026,22986.3,0.88997257,98.24258,96.59849
24-04-2026,22580.1,0.88021964,98.78851,96.96196
27-04-2026,23171.8,0.8894033,99.4123,97.48057
28-04-2026,23158.2,0.8979422,100.08543,98.08792
29-04-2026,23260.8,0.89170355,100.52531,98.72352
30-04-2026,23267.7,0.8977567,100.95271,99.35662
04-05-2026,23475.6,0.9019468,101.31036,99.967804
05-05-2026,23568.9,0.8998477,101.52973,100.539955
06-05-2026,24110.3,0.89886665,101.647194,101.058754
07-05-2026,24135.5,0.882794,101.46853,101.463524
08-05-2026,24110.3,0.88446355,101.30263,101.68369
11-05-2026,24170.4,0.9034515,101.3859,101.80977
12-05-2026,23840.9,0.911956,101.51082,101.84992
13-05-2026,23896.1,0.9230249,101.704834,101.819
14-05-2026,24551.1,0.9424715,102.10804,101.7864
15-05-2026,24634.8,0.9449229,102.42114,101.74216
18-05-2026,24762.8,0.9663796,102.92789,101.72275
19-05-2026,24867.4,0.96764827,103.306145,101.72633
20-05-2026,24843.2,0.9586676,103.42426,101.72926
21-05-2026,24890.9,0.95785075,103.44793,101.75879
22-05-2026,24573.9,0.9445288,103.225334,101.77735
25-05-2026,24674.7,0.93241906,102.820694,101.729065
26-05-2026,24659.2,0.93122107,102.42029,101.61798
27-05-2026,24716.0,0.9200349,101.87282,101.42427
29-05-2026,24345.8,0.9243462,101.42215,101.144806
01-06-2026,24214.2,0.9352036,101.158226,100.82775
02-06-2026,24006.3,0.92050815,100.70969,100.43004
03-06-2026,24086.6,0.92311287,100.36054,99.99252
04-06-2026,24177.9,0.9247866,100.10164,99.56517
05-06-2026,24248.1,0.9267061,99.92433,99.16899
08-06-2026,24147.7,0.94026506,99.99229,98.86219
09-06-2026,24290.3,0.9333198,99.98667,98.64639
10-06-2026,24160.8,0.9352472,100.0334,98.51614
11-06-2026,24306.9,0.94248223,100.19329,98.49417
12-06-2026,24380.1,0.92721856,100.130875,98.52519
15-06-2026,24220.1,0.8977889,99.69033,98.52836
16-06-2026,24157.8,0.89834005,99.34959,98.54451
17-06-2026,24146.6,0.9035413,99.14531,98.577126
18-06-2026,24282.2,0.9078679,99.04693,98.62636
19-06-2026,24460.3,0.9201378,99.153336,98.70663
22-06-2026,24762.9,0.9273313,99.34229,98.792404
23-06-2026,24989.9,0.9431397,99.71342,98.91698
24-06-2026,25018.9,0.9482495,100.084755,99.06823
25-06-2026,24969.5,0.92555726,100.080986,99.17752
29-06-2026,25227.9,0.95496565,100.486145,99.33449
30-06-2026,25326.4,0.95644224,100.83453,99.576256
01-07-2026,25182.7,0.9402424,100.89793,99.84055
02-07-2026,25308.9,0.9336253,100.86679,100.09332
03-07-2026,25745.2,0.95394635,101.10446,100.35786
06-07-2026,25866.2,0.94561285,101.14075,100.57739
07-07-2026,25677.7,0.93907875,101.03608,100.727745
08-07-2026,25429.8,0.951237,101.07055,100.81218
09-07-2026,25656.2,0.96176,101.19523,100.85183
10-07-2026,25674.1,0.9558203,101.18122,100.88483
13-07-2026,25643.3,0.9504031,101.06814,100.84408
14-07-2026,25907.1,0.97587717,101.29927,100.792984
15-07-2026,26003.6,0.97592425,101.47103,100.762985
