Date,NIFTY 50,NIFTY AUTO,NIFTY MEDIA,NIFTY METALS,NIFTY IT,NIFTY RURAL
01_04_2026_10_40,22807.5,24441.1,1301.95,11555,30126.9,
01_04_2026_10_45,22797.2,24441.2,1304.75,11549.5,30081.2,
01_04_2026_10_50,22789.8,24400.6,1302.3,11552.3,30061.4,
01_04_2026_10_55,22770.8,24371.4,1303.9,11540.1,30074.2,
01_04_2026_11_00,22749.1,24311.9,1302.05,11538.2,30049.1,
01_04_2026_11_05,22770.6,24340,1300.35,11549.7,30066.4,
01_04_2026_11_10,22763.8,24314.5,1300.15,11549.2,30072.7,
01_04_2026_11_15,22767.2,24327.3,1302.85,11532.9,30075.9,
01_04_2026_11_20,22781.7,24342.3,1303.1,11540.9,30064.2,
01_04_2026_11_25,22790.1,24317,1305,11524.3,30045.5,
01_04_2026_11_30,22798.5,24366.4,1307.4,11530.2,30016.4,
01_04_2026_11_35,22813.4,24385.7,1309.05,11532.3,30007.2,
01_04_2026_11_40,22799.2,24344.8,1309.7,11522.2,30000.2,
01_04_2026_11_45,22754.1,24300.1,1308.6,11493.9,29985.7,
01_04_2026_11_50,22745.6,24286.8,1306.45,11484.1,30036.2,
01_04_2026_11_55,22775.9,24319.8,1308.8,11497.2,30054.2,
01_04_2026_12_00,22838.8,24381.4,1310.3,11505.5,30114.6,
01_04_2026_12_05,22839.2,24403.7,1311.95,11507,30145.6,
01_04_2026_12_10,22859.3,24434,1312.6,11531.7,30132.1,
01_04_2026_12_15,22837.8,24407.3,1312.6,11534.1,30071.3,
01_04_2026_12_20,22831.4,24393.3,1312.6,11530.7,30012,
01_04_2026_12_25,22832.8,24410.7,1312.8,11526.8,29991.7,
01_04_2026_12_30,22829.5,24421.7,1312.4,11536.2,29964.1,
01_04_2026_12_35,22842.5,24441.4,1312.4,11539.3,29991.3,
01_04_2026_12_40,22834.6,24440.8,1313,11546.9,29975.4,
01_04_2026_12_45,22868.7,24476.9,1313.45,11552.7,30010.8,
01_04_2026_12_50,22873.6,24484,1313.25,11552.2,29940.7,
01_04_2026_12_55,22862.1,24457.1,1313,11557.8,29927.8,
01_04_2026_13_00,22864.6,24441.6,1311.75,11547.4,29916.4,
01_04_2026_13_05,22869.2,24461.4,1312.9,11551,29850.7,
01_04_2026_13_10,22883.3,24515.1,1313.4,11550.2,29907,
01_04_2026_13_15,22843,24468,1314.35,11530.5,29850.4,
01_04_2026_13_20,22810.6,24475.7,1314.1,11500.3,29831.8,
01_04_2026_13_25,22807.9,24483.7,1315.6,11487.5,29811.8,
01_04_2026_13_30,22776.8,24443.3,1314.05,11478.5,29750.9,
01_04_2026_13_35,22764.8,24438.2,1314.05,11463.2,29741.9,
01_04_2026_13_40,22675.2,24337.8,1309.2,11423,29628.3,
01_04_2026_13_45,22703.2,24388.1,1312.45,11440.5,29689.7,
01_04_2026_13_50,22697.9,24397.1,1313.55,11445,29684.2,
01_04_2026_13_55,22703.7,24370.4,1312.95,11444,29699.4,
01_04_2026_14_00,22720.8,24387.5,1313.6,11459.5,29715.2,
01_04_2026_14_05,22737.2,24402.3,1314.85,11463.2,29720.3,
01_04_2026_14_10,22753,24376.2,1316.75,11472.3,29713.3,
01_04_2026_14_15,22742.1,24340.8,1317.05,11463,29678.1,
01_04_2026_14_20,22723.4,24302.2,1317.45,11442.2,29658,
01_04_2026_14_25,22733.4,24303.3,1318.65,11452.6,29645.8,
01_04_2026_14_30,22709.2,24227.7,1317.8,11441,29659.4,
01_04_2026_14_35,22667.8,24186,1316.55,11414.2,29598.7,
01_04_2026_14_40,22662.7,24189.2,1313.4,11405.8,29624.8,
01_04_2026_14_45,22641.2,24160.4,1311.55,11391.3,29585.4,
01_04_2026_14_50,22657.2,24184.6,1309.95,11395.8,29595.6,
01_04_2026_14_55,22647.8,24213.8,1309.5,11396.5,29569.6,
01_04_2026_15_00,22676.8,24221.6,1314.85,11415,29639.8,
01_04_2026_15_05,22682.1,24249,1313.55,11424.7,29675,
01_04_2026_15_10,22671.7,24236.4,1309.3,11410.5,29683.4,
01_04_2026_15_15,22681.1,24253.7,1307.7,11411.5,29673.1,
01_04_2026_15_20,22683.5,24250.7,1306.85,11402.6,29701.8,
01_04_2026_15_25,22703.2,24218.1,1303.1,11416.2,29703.8,
02_04_2026_09_15,22228,23632.2,1275.15,11171.5,29456.2,
02_04_2026_09_20,22252.2,23643.3,1279.85,11186.7,29610.3,
02_04_2026_09_25,22244.4,23696.2,1275.25,11164.8,29585.6,
02_04_2026_09_30,22255.4,23714.8,1276.3,11163.1,29552.5,
02_04_2026_09_35,22251.4,23705.6,1276.75,11166,29499.1,
02_04_2026_09_40,22264.4,23723.4,1279.95,11163.7,29585.7,
02_04_2026_09_45,22235.7,23626.2,1276.5,11121.3,29483.7,
02_04_2026_09_50,22221.2,23578.6,1274.6,11092.5,29496.1,
02_04_2026_09_55,22206.5,23576.9,1275.95,11086.6,29435.7,
02_04_2026_10_00,22216.1,23627.5,1271.55,11074.8,29480.8,
02_04_2026_10_05,22186.3,23578.1,1269.75,11064,29449.7,
02_04_2026_10_10,22234.3,23648.9,1272,11107,29448.7,
02_04_2026_10_15,22206.6,23605.4,1268.85,11076.4,29556.6,
02_04_2026_10_20,22191.3,23588.9,1267.75,11065.6,29512.8,
02_04_2026_10_25,22217.7,23618.8,1270.25,11077.7,29588.2,
02_04_2026_10_30,22214,23639.8,1271.7,11090.3,29609.1,
